A B
64.04 63.1
50.55 49.04
73.03 72.69
85.91 83.52
60.36 60.62
65.52 63.33
40.36 41.04
71.08 71.81
60.67 59.8
44.27 43.15
85.92 84.68
42.32 40.71
69.8 69.97
54.47 55.24
51.01 50.38
60.82 59.59
85.62 84.87
43.58 43.58
55.66 55.55
93.11 91.5
67.78 67.21
38.93 38.42
90.22 89.24
42.18 41.84
62.86 62.2
42.45 42.2
59.43 58.65
95.31 93.08
80.9 78.99
51.6 49.22
49.93 46.06
67.39 66.45
42.31 38.86
44.12 43.14
77.07 77.77
57.6 58.12
69.46 66.83
84.25 83.53
57.1 56.46
35.88 35.68
46.72 47.87
53.51 52.04
53.68 51.38
57.44 55.43
63.69 62.58
48.81 49.66
55.89 53.8
87.37 87.15
60.21 59.86
62.82 62.99
