A B
72.791 52
66.93 58
80.223 51
34.088 53
32.789 49
59.899 51
50.165 52
56.54 45
49.04 52
41.332 51
63.43 48
69.146 52
34.797 59
45.98 47
81.588 59
36.187 51
57.323 51
32.146 51
78.822 60
33.493 56
31.546 50
36.827 51
72.586 47
76.627 48
34.985 45
66.166 44
56.873 51
53.052 47
41.239 48
46.712 49
76.133 47
55.666 47
39.235 50
40.493 55
42.942 50
67.928 59
77.247 48
56 45
65.265 50
53.569 47
35.014 51
32.598 50
75.041 53
31.397 51
41.441 49
55.47 54
42.956 52
36.823 53
65.297 54
67.907 55
31.33 50
43.938 52
37.57 50
71.077 52
53.562 52
53.449 51
50.676 54
32.755 48
32.091 47
42.867 53
39.449 45
64.679 55
60.262 48
81.823 48
62.398 50
69.844 47
75.621 49
46.348 52
32.347 50
81.148 53
74.185 55
47.928 45
68.857 46
54.188 47
35.289 57
38.203 46
67.905 49
59.717 54
71.297 44
60.707 53
