A B
56.389 53
45.952 47
52.199 52
66.041 53
34.427 50
41.723 51
44.276 54
44.16 56
62.023 51
52.343 52
63.886 47
59.522 54
35.902 52
60.988 51
48.619 48
52.298 50
32.699 47
43.737 53
50.737 53
73.479 52
74.966 48
61.998 51
70.306 46
48.49 47
51.104 46
66.746 50
73.591 54
42.459 47
70.08 48
48.507 46
57.851 45
34.841 49
38.83 52
76.791 52
51.977 51
68.883 50
72.778 52
79.642 57
65.643 46
56.026 48
44.325 46
41.903 50
30.751 53
67.906 51
42.994 55
38.382 49
30.886 48
55.277 51
35.351 50
71.68 53
48.425 51
78.694 59
42.785 53
54.603 51
39.961 49
60.328 52
53.893 50
54.307 46
50.791 53
56.275 48
31.658 49
35.952 52
54.385 50
50.643 53
73.348 52
69.578 53
59.815 53
53.27 48
34.358 50
41.395 49
33.93 46
57.79 51
63.351 53
57.338 47
32.043 48
58.385 46
49.384 48
79.988 49
43.382 49
40.813 49
